Our Strategy,Our Ann.,Our Sharpe,ETF,ETF Ann.,ETF Sharpe,Ann. Gap,Sharpe Gap
shareholder_yield,21.85%,0.66,SYLD,4.65%,0.03,+17.20%,+0.63
quality_value,15.09%,0.61,SPHQ,12.78%,0.53,+2.31%,+0.08
quality_value,15.09%,0.61,QUAL,10.86%,0.39,+4.24%,+0.22
three_factor,17.94%,0.79,VLUE,10.26%,0.36,+7.68%,+0.43
three_factor,17.94%,0.79,IUSV,8.83%,0.33,+9.12%,+0.46
six_factor,19.41%,0.88,MTUM,12.34%,0.41,+7.07%,+0.48
low_volatility,5.92%,0.16,USMV,5.94%,0.16,-0.02%,-0.00
low_volatility,5.92%,0.16,SPLV,4.38%,0.03,+1.54%,+0.12
magic_formula,2.03%,-0.10,SPY,12.26%,0.48,-10.23%,-0.58
piotroski,11.54%,0.38,SPHQ,12.78%,0.53,-1.24%,-0.15
